,Menu,Price,Restaurant,Location
0,Yaki Beef Gyoza,$7.95.,Monster Ramen ,"3435 W. Fullerton Ave., Logan Square"
1,Dark Chocolate and Pecan Banana Bread,$5.,Mindy’s Bakery ,"1623 N. Milwaukee Ave., Bucktown"
2,Chicken Diavola,$26.,Coda di Volpe,"3335 N. Southport Ave., Lake View"
3,Purple Velvet Cupcake,$5.50.,Jennivee’s Bakery,"3301 N. Sheffield Ave., Lake View"
4,Charred Broccoli Salad,,Split-Rail,"2500 W. Chicago Ave., Humboldt Park"
5,Ceci Bean Cavatelli,$18.,Boeufhaus,"1012 N. Western Ave., Humboldt Park"
6,Mejillones,$24.,Tzuco,"720 N. State St., Near North Side"
7,Wood-Grilled Berbere-Spiced Carrots,$12.,Eden,"2734 W. Roscoe St., Avondale"
8,Chicken Sandwich,$14.,Nine Bar,"216 W. Cermak Rd., Chinatown"
9,Not Your Everyday Caprese,$15.,Bazaar Meat,"120 N. Wacker Dr., Loop"
10,Wood-Roasted Salmon,$29.,the Graceful Ordinary,"3 E. Main St., St. Charles"
11,Inaloban,$22.,Wazwan,"1742 W. Division St., Wicker Park"
12,Sach Ko Ang,$13.,Khmai Cambodian Fine Dining,"2043 W. Howard St., Rogers Park"
13,Taco Al Pastor,$6.,Rubi’s,"1316 W. 18th St., Pilsen"
14,Chicories,$14.,Peanut Park Trattoria,"1359 W. Taylor St., Little Italy"
15,Army Stew,$24.99.,New Village Gastro Pub,
16,Yuk Hwe,,Parachute,"3500 N. Elston Ave., Avondale"
17,Leek Gramigne,$25.,Segnatore,"1001 N. California Ave., Humboldt Park"
18,Salade Lyonnaise Canard,$19.,Obélix,"700 N. Sedgwick St., River North"
19,Quail,$32.,El Che Steakhouse & Bar,"845 W. Washington Blvd., West Loop"
20,Curry Beef Roti,$16.,D’s Roti & Trini Cuisine ,"2537 S. Wabash Ave., Bronzeville"
21,Catfish Po’ Boy,$28.99,Daisy’s Po-Boy and Tavern,"5215 S. Harper Ave., Hyde Park"
22,Bougatsa,$18.,Lyra,"905 W. Fulton Market, West Loop"
23,Baba Au Rhum,$16.,The Loyalist,"177 N. Ada St., West Loop"
24,Lunchroom Butter Cookie Ice Cream,$6.60,Shawn Michelle’s Homemade Ice Cream ,"46 E. 47th St., Bronzeville"
25,Spare Ribs Cheung Fun,$7.49.,Ying Dim Sum,"2105 S. Jefferson St., Pilsen"
26,Live Eel,$86,Holu,"2101 S. Jefferson St., Pilsen"
27,Nam Tok Kor Moo Yang,$14.50.,Immm Rice & Beyond,"4949 N. Broadway, Uptown"
28,Breakfast Dosa Hash,$16.,Superkhana International,"3059 W. Diversey Ave., Logan Square"
29,Khachapuri,$12.,Bungalow by Middle Brow ,"2840 W. Armitage Ave., Logan Square"
